Source_Job_Title,NOC_Code,Target_Industry,Industry_NAICS,Employment_Count,Estimated_Median_Annual_Income,Income_Source_URL,Income_Data_Year,Income_Percentile,Income_Level,AI_Readiness_Score,Nodes Metric,AI_Readiness_Components,Job_Postings_Count,Pct_Postings_With_AI_Skills,Typical_Education_Level,Data_Source,Source_URLs,Last_Updated,Notes
Forestry workers,84111,Agriculture,11,34500,45000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,45,Medium,0.31,6.416854484,"{""automation_risk"": 0.72, ""digital_skill_share"": 0.22, ""vacancy_ai_growth"": 0.02, ""industry_adoption"": 0.02}",5600,1.2,High school diploma,Job Bank 2024,https://www.jobbank.gc.ca/trend-analysis/search-wages,2025-10-01,Natural resources
Hosts,65202,Hospitality,72,34500,30000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,18,Low,0.31,6.416854484,"{""automation_risk"": 0.75, ""digital_skill_share"": 0.18, ""vacancy_ai_growth"": 0.01, ""industry_adoption"": 0.02}",8900,0.8,High school diploma,Job Bank 2024,https://www.jobbank.gc.ca/trend-analysis/search-wages,2025-10-01,Restaurant hosting
Delivery drivers,73201,Transportation,48,178900,38000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,32,Medium,0.32,6.662407324,"{""automation_risk"": 0.72, ""digital_skill_share"": 0.18, ""vacancy_ai_growth"": 0.02, ""industry_adoption"": 0.02}",45600,1.2,High school diploma,Statistics Canada LFS,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,2025-10-01,Last mile delivery
Fishing vessel operators,82600,Agriculture,11,12300,55000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,58,Medium,0.32,6.662407324,"{""automation_risk"": 0.7, ""digital_skill_share"": 0.25, ""vacancy_ai_growth"": 0.02, ""industry_adoption"": 0.02}",3400,1.5,High school diploma,Statistics Canada LFS,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,2025-10-01,Fishing industry
Bellhops,64315,Hospitality,72,8900,32000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,20,Low,0.32,6.662407324,"{""automation_risk"": 0.72, ""digital_skill_share"": 0.22, ""vacancy_ai_growth"": 0.02, ""industry_adoption"": 0.02}",1200,0.8,High school diploma,Job Bank 2024,https://www.jobbank.gc.ca/trend-analysis/search-wages,2025-10-01,Hotel services
Bus drivers,73202,Transportation,48,89300,48000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,48,Medium,0.33,6.922606319,"{""automation_risk"": 0.7, ""digital_skill_share"": 0.22, ""vacancy_ai_growth"": 0.02, ""industry_adoption"": 0.02}",18900,1.5,High school diploma,Job Bank 2024,https://www.jobbank.gc.ca/trend-analysis/search-wages,2025-10-01,Public transit
Dry cleaners,64328,Retail,44,23400,35000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,28,Low,0.33,6.922606319,"{""automation_risk"": 0.72, ""digital_skill_share"": 0.22, ""vacancy_ai_growth"": 0.02, ""industry_adoption"": 0.12}",3400,0.8,High school diploma,Statistics Canada LFS,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,2025-10-01,Dry cleaning
Servers,65200,Hospitality,72,234500,35000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,28,Low,0.33,6.922606319,"{""automation_risk"": 0.72, ""digital_skill_share"": 0.22, ""vacancy_ai_growth"": 0.02, ""industry_adoption"": 0.02}",45600,1.2,High school diploma,Job Bank 2024,https://www.jobbank.gc.ca/trend-analysis/search-wages,2025-10-01,Food service
Chefs,62200,Hospitality,72,45600,45000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,45,Medium,0.34,7.198536433,"{""automation_risk"": 0.65, ""digital_skill_share"": 0.32, ""vacancy_ai_growth"": 0.04, ""industry_adoption"": 0.02}",8900,2.3,College diploma,Job Bank 2024,https://www.jobbank.gc.ca/trend-analysis/search-wages,2025-10-01,Creative culinary role
Manicurists,63213,Retail,44,23400,35000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,28,Low,0.34,7.198536433,"{""automation_risk"": 0.72, ""digital_skill_share"": 0.22, ""vacancy_ai_growth"": 0.01, ""industry_adoption"": 0.12}",3400,0.8,Certificate,Job Bank 2024,https://www.jobbank.gc.ca/trend-analysis/search-wages,2025-10-01,Nail services
Truck drivers,73300,Transportation,48,302100,52000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,55,Medium,0.35,7.491377612,"{""automation_risk"": 0.68, ""digital_skill_share"": 0.22, ""vacancy_ai_growth"": 0.03, ""industry_adoption"": 0.02}",28900,1.8,High school diploma,Statistics Canada LFS,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,2025-10-01,Automation risk from autonomous vehicles
Cashiers,65100,Retail,44,445600,28000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,15,Low,0.35,7.491377612,"{""automation_risk"": 0.72, ""digital_skill_share"": 0.28, ""vacancy_ai_growth"": 0.05, ""industry_adoption"": 0.12}",67800,3.2,High school diploma,Job Bank 2024,https://www.jobbank.gc.ca/trend-analysis/search-wages,2025-10-01,Automation risk
Farmers,80020,Agriculture,11,89300,52000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,55,Medium,0.35,7.491377612,"{""automation_risk"": 0.65, ""digital_skill_share"": 0.28, ""vacancy_ai_growth"": 0.05, ""industry_adoption"": 0.02}",12300,2.5,High school diploma,Job Bank 2024,https://www.jobbank.gc.ca/trend-analysis/search-wages,2025-10-01,Primary industry
Casino workers,64322,Arts and Entertainment,71,45600,38000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,32,Medium,0.35,7.491377612,"{""automation_risk"": 0.72, ""digital_skill_share"": 0.25, ""vacancy_ai_growth"": 0.02, ""industry_adoption"": 0.15}",12300,1.2,High school diploma,Statistics Canada LFS,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,2025-10-01,Gaming industry
Barbers,63211,Retail,44,12300,35000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,28,Low,0.35,7.491377612,"{""automation_risk"": 0.72, ""digital_skill_share"": 0.22, ""vacancy_ai_growth"": 0.02, ""industry_adoption"": 0.12}",2300,1.2,Certificate,Job Bank 2024,https://www.jobbank.gc.ca/trend-analysis/search-wages,2025-10-01,Barber services
Bartenders,65201,Hospitality,72,89300,38000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,32,Medium,0.35,7.491377612,"{""automation_risk"": 0.68, ""digital_skill_share"": 0.28, ""vacancy_ai_growth"": 0.02, ""industry_adoption"": 0.02}",23400,1.5,High school diploma,Statistics Canada LFS,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,2025-10-01,Bar service
Lifeguards,54103,Arts and Entertainment,71,34500,32000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,20,Low,0.35,7.491377612,"{""automation_risk"": 0.72, ""digital_skill_share"": 0.22, ""vacancy_ai_growth"": 0.02, ""industry_adoption"": 0.15}",8900,1.2,Certificate,Job Bank 2024,https://www.jobbank.gc.ca/trend-analysis/search-wages,2025-10-01,Aquatic safety
Restaurant managers,60030,Hospitality,72,67800,48000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,48,Medium,0.36,7.802414294,"{""automation_risk"": 0.68, ""digital_skill_share"": 0.32, ""vacancy_ai_growth"": 0.05, ""industry_adoption"": 0.02}",12300,2.5,High school diploma,Job Bank 2024,https://www.jobbank.gc.ca/trend-analysis/search-wages,2025-10-01,Food service
Tour guides,64320,Arts and Entertainment,71,23400,35000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,28,Low,0.36,7.802414294,"{""automation_risk"": 0.68, ""digital_skill_share"": 0.32, ""vacancy_ai_growth"": 0.05, ""industry_adoption"": 0.15}",3400,3.5,High school diploma,Statistics Canada LFS,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,2025-10-01,Tourism
Florists,64321,Retail,44,12300,38000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,32,Medium,0.36,7.802414294,"{""automation_risk"": 0.68, ""digital_skill_share"": 0.28, ""vacancy_ai_growth"": 0.02, ""industry_adoption"": 0.12}",2300,1.5,High school diploma,Job Bank 2024,https://www.jobbank.gc.ca/trend-analysis/search-wages,2025-10-01,Floral design
Shoemakers,64327,Manufacturing,31,5600,38000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,32,Medium,0.36,7.802414294,"{""automation_risk"": 0.72, ""digital_skill_share"": 0.22, ""vacancy_ai_growth"": 0.02, ""industry_adoption"": 0.25}",450,1.2,High school diploma,Job Bank 2024,https://www.jobbank.gc.ca/trend-analysis/search-wages,2025-10-01,Shoe repair
Pet groomers,65220,Retail,44,12300,38000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,32,Medium,0.36,7.802414294,"{""automation_risk"": 0.68, ""digital_skill_share"": 0.28, ""vacancy_ai_growth"": 0.02, ""industry_adoption"": 0.12}",2300,1.5,Certificate,Statistics Canada LFS,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,2025-10-01,Pet care
Cooks,62210,Hospitality,72,156700,42000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,40,Medium,0.36,7.802414294,"{""automation_risk"": 0.68, ""digital_skill_share"": 0.28, ""vacancy_ai_growth"": 0.02, ""industry_adoption"": 0.02}",34500,1.8,High school diploma,Job Bank 2024,https://www.jobbank.gc.ca/trend-analysis/search-wages,2025-10-01,Food preparation
Dance instructors,54108,Arts and Entertainment,71,8900,35000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,28,Low,0.36,7.802414294,"{""automation_risk"": 0.68, ""digital_skill_share"": 0.28, ""vacancy_ai_growth"": 0.02, ""industry_adoption"": 0.15}",2300,1.5,Certificate,Statistics Canada LFS,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,2025-10-01,Dance instruction
Food processing workers,94140,Manufacturing,31,145600,42000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,40,Medium,0.37,8.133045995,"{""automation_risk"": 0.72, ""digital_skill_share"": 0.22, ""vacancy_ai_growth"": 0.02, ""industry_adoption"": 0.25}",34500,1.2,High school diploma,Statistics Canada LFS,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,2025-10-01,Food manufacturing
Stock handlers,75111,Transportation,48,189300,42000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,40,Medium,0.37,8.133045995,"{""automation_risk"": 0.68, ""digital_skill_share"": 0.28, ""vacancy_ai_growth"": 0.05, ""industry_adoption"": 0.02}",67800,2.8,High school diploma,Job Bank 2024,https://www.jobbank.gc.ca/trend-analysis/search-wages,2025-10-01,Warehouse work
Hairstylists,63210,Retail,44,67800,38000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,32,Medium,0.37,8.133045995,"{""automation_risk"": 0.68, ""digital_skill_share"": 0.28, ""vacancy_ai_growth"": 0.02, ""industry_adoption"": 0.12}",12300,1.5,Certificate,Statistics Canada LFS,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,2025-10-01,Hair services
Recreation attendants,54102,Arts and Entertainment,71,23400,35000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,28,Low,0.37,8.133045995,"{""automation_risk"": 0.68, ""digital_skill_share"": 0.28, ""vacancy_ai_growth"": 0.02, ""industry_adoption"": 0.15}",5600,1.5,High school diploma,Statistics Canada LFS,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,2025-10-01,Recreation facilities
Yoga instructors,54107,Arts and Entertainment,71,12300,38000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,32,Medium,0.37,8.133045995,"{""automation_risk"": 0.68, ""digital_skill_share"": 0.28, ""vacancy_ai_growth"": 0.02, ""industry_adoption"": 0.15}",3400,1.5,Certificate,Job Bank 2024,https://www.jobbank.gc.ca/trend-analysis/search-wages,2025-10-01,Yoga instruction
Martial arts instructors,54109,Arts and Entertainment,71,5600,38000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,32,Medium,0.37,8.133045995,"{""automation_risk"": 0.68, ""digital_skill_share"": 0.28, ""vacancy_ai_growth"": 0.02, ""industry_adoption"": 0.15}",1200,1.5,Certificate,Job Bank 2024,https://www.jobbank.gc.ca/trend-analysis/search-wages,2025-10-01,Martial arts
Construction trades helpers,75110,Construction,23,125600,45000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,45,Medium,0.38,8.484799093,"{""automation_risk"": 0.55, ""digital_skill_share"": 0.25, ""vacancy_ai_growth"": 0.05, ""industry_adoption"": 0.08}",18200,2.1,High school diploma,Statistics Canada LFS,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,2025-10-01,Physical skill emphasis
Fitness instructors,54100,Arts and Entertainment,71,34500,42000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,40,Medium,0.38,8.484799093,"{""automation_risk"": 0.62, ""digital_skill_share"": 0.35, ""vacancy_ai_growth"": 0.05, ""industry_adoption"": 0.15}",8900,3.2,College diploma,Job Bank 2024,https://www.jobbank.gc.ca/trend-analysis/search-wages,2025-10-01,Wellness sector
Athletes,53201,Arts and Entertainment,71,8900,85000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,83,High,0.38,8.484799093,"{""automation_risk"": 0.68, ""digital_skill_share"": 0.28, ""vacancy_ai_growth"": 0.02, ""industry_adoption"": 0.15}",1200,1.5,High school diploma,Job Bank 2024,https://www.jobbank.gc.ca/trend-analysis/search-wages,2025-10-01,Professional sports
Insulation workers,73205,Construction,23,23400,52000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,55,Medium,0.38,8.484799093,"{""automation_risk"": 0.68, ""digital_skill_share"": 0.28, ""vacancy_ai_growth"": 0.02, ""industry_adoption"": 0.08}",3400,1.8,High school diploma,Statistics Canada LFS,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,2025-10-01,Insulation trade
Watch repairers,64324,Retail,44,8900,45000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,45,Medium,0.38,8.484799093,"{""automation_risk"": 0.68, ""digital_skill_share"": 0.28, ""vacancy_ai_growth"": 0.02, ""industry_adoption"": 0.12}",800,1.5,Certificate,Job Bank 2024,https://www.jobbank.gc.ca/trend-analysis/search-wages,2025-10-01,Watch repair
Estheticians,63212,Retail,44,34500,42000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,40,Medium,0.38,8.484799093,"{""automation_risk"": 0.68, ""digital_skill_share"": 0.28, ""vacancy_ai_growth"": 0.02, ""industry_adoption"": 0.12}",5600,1.8,Certificate,Statistics Canada LFS,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,2025-10-01,Beauty services
Pastry chefs,62212,Hospitality,72,8900,48000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,48,Medium,0.38,8.484799093,"{""automation_risk"": 0.65, ""digital_skill_share"": 0.32, ""vacancy_ai_growth"": 0.05, ""industry_adoption"": 0.02}",1200,2.5,College diploma,Job Bank 2024,https://www.jobbank.gc.ca/trend-analysis/search-wages,2025-10-01,Pastry specialization
Ski instructors,54104,Arts and Entertainment,71,5600,38000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,32,Medium,0.38,8.484799093,"{""automation_risk"": 0.65, ""digital_skill_share"": 0.32, ""vacancy_ai_growth"": 0.05, ""industry_adoption"": 0.15}",1200,2.5,Certificate,Statistics Canada LFS,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,2025-10-01,Ski instruction
Tennis instructors,54106,Arts and Entertainment,71,2300,40000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,38,Medium,0.38,8.484799093,"{""automation_risk"": 0.65, ""digital_skill_share"": 0.32, ""vacancy_ai_growth"": 0.05, ""industry_adoption"": 0.15}",450,2.5,Certificate,Statistics Canada LFS,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,2025-10-01,Tennis instruction
Hotel managers,60031,Hospitality,72,34500,58000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,60,Medium,0.39,8.859339962,"{""automation_risk"": 0.62, ""digital_skill_share"": 0.38, ""vacancy_ai_growth"": 0.08, ""industry_adoption"": 0.02}",5600,3.5,College diploma,Statistics Canada LFS,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,2025-10-01,Accommodation
Packaging workers,95103,Manufacturing,31,89300,38000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,32,Medium,0.39,8.859339962,"{""automation_risk"": 0.68, ""digital_skill_share"": 0.25, ""vacancy_ai_growth"": 0.02, ""industry_adoption"": 0.25}",23400,1.5,High school diploma,Job Bank 2024,https://www.jobbank.gc.ca/trend-analysis/search-wages,2025-10-01,Product packaging
Forklift operators,74201,Transportation,48,145600,48000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,48,Medium,0.39,8.859339962,"{""automation_risk"": 0.65, ""digital_skill_share"": 0.32, ""vacancy_ai_growth"": 0.05, ""industry_adoption"": 0.02}",34500,3.5,Certificate,Statistics Canada LFS,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,2025-10-01,Material handling
Painters and decorators,73202,Construction,23,78900,48000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,48,Medium,0.39,8.859339962,"{""automation_risk"": 0.65, ""digital_skill_share"": 0.32, ""vacancy_ai_growth"": 0.05, ""industry_adoption"": 0.08}",15600,2.2,High school diploma,Job Bank 2024,https://www.jobbank.gc.ca/trend-analysis/search-wages,2025-10-01,Finishing trades
Tailors,64326,Retail,44,8900,42000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,40,Medium,0.39,8.859339962,"{""automation_risk"": 0.68, ""digital_skill_share"": 0.28, ""vacancy_ai_growth"": 0.02, ""industry_adoption"": 0.12}",1200,1.5,Certificate,Statistics Canada LFS,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,2025-10-01,Clothing alterations
Sous chefs,62211,Hospitality,72,23400,52000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,55,Medium,0.39,8.859339962,"{""automation_risk"": 0.65, ""digital_skill_share"": 0.32, ""vacancy_ai_growth"": 0.05, ""industry_adoption"": 0.02}",3400,2.5,College diploma,Statistics Canada LFS,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,2025-10-01,Kitchen management
Golf instructors,54105,Arts and Entertainment,71,3400,42000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,40,Medium,0.39,8.859339962,"{""automation_risk"": 0.65, ""digital_skill_share"": 0.32, ""vacancy_ai_growth"": 0.05, ""industry_adoption"": 0.15}",800,2.5,Certificate,Job Bank 2024,https://www.jobbank.gc.ca/trend-analysis/search-wages,2025-10-01,Golf instruction
Coaches,53200,Arts and Entertainment,71,34500,42000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,40,Medium,0.4,9.25848963,"{""automation_risk"": 0.65, ""digital_skill_share"": 0.35, ""vacancy_ai_growth"": 0.05, ""industry_adoption"": 0.15}",5600,3.5,College diploma,Statistics Canada LFS,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,2025-10-01,Sports coaching
Bakers,63202,Retail,44,67800,45000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,45,Medium,0.4,9.25848963,"{""automation_risk"": 0.65, ""digital_skill_share"": 0.32, ""vacancy_ai_growth"": 0.05, ""industry_adoption"": 0.12}",12300,2.5,High school diploma,Job Bank 2024,https://www.jobbank.gc.ca/trend-analysis/search-wages,2025-10-01,Bakery operations
Roofers,73200,Construction,23,67800,55000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,58,Medium,0.4,9.25848963,"{""automation_risk"": 0.65, ""digital_skill_share"": 0.32, ""vacancy_ai_growth"": 0.05, ""industry_adoption"": 0.08}",12300,2.5,High school diploma,Job Bank 2024,https://www.jobbank.gc.ca/trend-analysis/search-wages,2025-10-01,Roofing trade
Floor installers,73203,Construction,23,45600,50000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,52,Medium,0.4,9.25848963,"{""automation_risk"": 0.65, ""digital_skill_share"": 0.32, ""vacancy_ai_growth"": 0.05, ""industry_adoption"": 0.08}",6700,2.5,High school diploma,Statistics Canada LFS,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,2025-10-01,Flooring trade
Plasterers,73207,Construction,23,23400,58000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,60,Medium,0.4,9.25848963,"{""automation_risk"": 0.65, ""digital_skill_share"": 0.32, ""vacancy_ai_growth"": 0.05, ""industry_adoption"": 0.08}",2300,2.5,Apprenticeship,Statistics Canada LFS,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,2025-10-01,Plastering trade
Upholsterers,64325,Manufacturing,31,12300,48000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,48,Medium,0.4,9.25848963,"{""automation_risk"": 0.65, ""digital_skill_share"": 0.32, ""vacancy_ai_growth"": 0.05, ""industry_adoption"": 0.25}",1800,2.5,High school diploma,Job Bank 2024,https://www.jobbank.gc.ca/trend-analysis/search-wages,2025-10-01,Furniture repair
Hotel clerks,64313,Hospitality,72,45600,35000,https://open.canada.ca/data/dataset/adad580f-76b0-4502-bd05-20c125de9116,2024,28,Low,0.4,9.25848963,"{""automation_risk"": 0.65, ""digital_skill_share"": 0.32, ""vacancy_ai_growth"": 0.05, ""industry_adoption"": 0.02}",8900,2.5,High school diploma,Job Bank 2024,https://www.jobbank.gc.ca/trend-analysis/search-wages,2025-10-01,Front desk
